,mean,std,2.5q,25q,50q,75q,97.5q,mc err,p_err,geweke,P
z,0.4839941532191841,0.0027090357712007632,0.47880974737058657,0.4821631086106761,0.48396142536966164,0.4858023943852171,0.48925480576902103,8.778924020865637e-05,0.03240608379628163,0.12425819686529022,0.0
z_std,0.12830934532393082,0.008017044566865963,0.11374427506765505,0.12267444757238544,0.12802350111093688,0.13344788038266794,0.14478048099418342,0.0003111345179822064,0.03880912914817881,-0.06500426912955344,0.0
a_Intercept(TF0),1.2768842011512074,0.03065245862308809,1.2176608250242507,1.2562968948339421,1.276712660379911,1.2985730851704818,1.3346649850595997,0.0007764622576574211,0.025331157516760273,0.049194915562409396,0.0
a_Intercept(TF1),1.3507146792767986,0.03213619167181726,1.2873942270566405,1.329032314180842,1.3505467563467894,1.3729580838080002,1.4141955460684952,0.0006284538317614387,0.019555952310073472,0.002698193166537233,0.0
a_Intercept(TM0),1.11577680775199,0.03716104871846926,1.0425955160592315,1.0912421334981643,1.1165351121702003,1.14089884649659,1.1857303737850455,0.0007807587936425501,0.021010138856886146,-0.0332910044390838,0.0
a_Intercept(TM1),1.195771854700684,0.03764072315460977,1.1242047019806973,1.1703372646163681,1.1954891798051308,1.2218309411227055,1.2683040469182172,0.0009314352652618233,0.024745413669018543,0.008259966770788933,0.0
a_trial_c0,-0.09687361755487689,0.002376757638812296,-0.10155734945698972,-0.09847095819239737,-0.0968670002880476,-0.09520736210426829,-0.09236420678223807,8.013264903150366e-05,0.03371511159696839,-0.005934282595747265,0.0
a_size_c0,-0.11694416746331587,0.002958897180110975,-0.12312676232302693,-0.11896675934852548,-0.11687678567153334,-0.11492875102436492,-0.11123169915660028,0.00012077242371958365,0.04081670175340598,0.1751809661365481,0.0
a_trial_c0:size_c0,0.015559228925270816,0.004050523891839178,0.007418126004131918,0.012727457205935697,0.015663967294880884,0.01848273883843515,0.023330766469966957,0.00011128368589944351,0.02747389939450872,0.01734543217246202,0.0
v_Intercept(TF0),-0.8757653408951928,0.05912964429079138,-0.9887405850948564,-0.9158481342529948,-0.8756071511111869,-0.8366581718307589,-0.7563420350497149,0.0013389610092678138,0.022644496264563836,-0.04640964264376458,0.0
v_Intercept(TF1),-0.9586087893170957,0.05863078644962744,-1.0750002554299387,-0.9986306388151795,-0.9586796598031576,-0.9171119203892858,-0.8459672357641339,0.0014373360328542703,0.024515039280415516,-0.024759859627113478,0.0
v_Intercept(TM0),-0.12954320626339183,0.07776218390223895,-0.2802888215498826,-0.1831678736751489,-0.13142512393491404,-0.07836107895720354,0.025410335152676503,0.002019104350700246,0.02596511889684867,-0.0007868957366642807,0.04849999999999999
v_Intercept(TM1),0.020350300020672216,0.07541250191656028,-0.12704729178280721,-0.03139905681856367,0.020799665161663906,0.07085625084738544,0.16976132388478227,0.0016452342490688506,0.021816465536300737,-0.028343954846868493,0.395
v_trial_c0,-0.1638897193587725,0.009439930563528882,-0.1822120314179045,-0.17037732792906146,-0.1638522544038632,-0.15752057814837062,-0.14552995750005565,0.0002452164155185587,0.025976506274945594,-0.06890143677116621,0.0
v_size_c0,3.4433051244369177,0.010955389269669196,3.4221911097359015,3.43574127615998,3.4430230546326834,3.450678549121421,3.4655726633916824,0.0003658643402309361,0.033395832062659656,0.01291459635115529,0.0
v_trial_c0:size_c0,0.061348598700315046,0.017517974929800145,0.026599713553661027,0.04994565578771441,0.06134240814048824,0.07300483494106538,0.09527289817818141,0.0005456642618575921,0.03114882079944941,0.011507290739687438,0.0010000000000000009
t_Intercept(TF0),0.030265543848740983,0.002717396535642771,0.02515615731002017,0.028405031253945154,0.030136637851062374,0.03201457534106057,0.035990073857786624,0.00014979180522170247,0.055123278202851914,0.30508459288024076,0.0
t_Intercept(TF1),0.026370377373508908,0.002779845333674141,0.021263335566603918,0.024438675122602525,0.026227102851253216,0.028146687556588414,0.032169605592897936,0.00016607837440396132,0.0597437463128405,0.28107673487050167,0.0
t_Intercept(TM0),0.03731887986330822,0.0034664933177803595,0.030954457003831863,0.03492280206879088,0.037098854398754176,0.03958953309420629,0.044903000061732076,0.00015316686506183623,0.04418495898325024,0.23201791847382724,0.0
t_Intercept(TM1),0.03251742907272741,0.0034755596064798546,0.025987191850207682,0.030182904343207428,0.032382687705770234,0.0349272886461828,0.03930048606827919,0.00017450773995247472,0.0502099689578396,0.4560511458110816,0.0
t_trial_c0,4.9637980632218075e-06,3.4147125397530206e-05,-5.54992462185503e-05,-9.713693068471706e-06,1.2409009138355663e-06,1.70767963091333e-05,8.052955940830665e-05,1.6877713879610985e-06,0.04942645591137143,-0.13172978473167576,0.4630000000000001
t_size_c0,7.382180873004366e-06,2.9412804660512377e-05,-4.3474420471023624e-05,-7.968719146520622e-06,3.2500613744238514e-06,1.7996578178309712e-05,8.604055990231646e-05,1.5013412228152143e-06,0.051043796745803456,-0.10903259363622324,0.41500000000000004
t_trial_c0:size_c0,4.719139840534009e-06,3.2982274536822756e-05,-6.049112790087625e-05,-1.0657432291052337e-05,2.243548656659183e-06,1.7938029791072715e-05,8.056862460877837e-05,1.671448575706153e-06,0.050677177337787295,-0.3024487558191658,0.4555
